| Stack | Method | Status | Round | Diff | Initial | Final | Ops | C | R | U | D |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| sqlalchemy1x_async | balanced_quick | ✅ | 1 | 7.32 | 49.75 | 57.06 | 1000 | 0.25 | 0.25 | 0.25 | 0.25 |
| sqlalchemy1x_async | balanced_quick | ✅ | 2 | 2.01 | 57.21 | 59.22 | 1000 | 0.25 | 0.25 | 0.25 | 0.25 |
| sqlalchemy1x_async | balanced_quick | ✅ | 3 | 1.0 | 59.22 | 60.22 | 1000 | 0.25 | 0.25 | 0.25 | 0.25 |
| sqlalchemy1x_async | create_heavy_quick | ✅ | 1 | 2.01 | 60.37 | 62.38 | 1000 | 0.5 | 0.2 | 0.2 | 0.1 |
| sqlalchemy1x_async | create_heavy_quick | ✅ | 2 | -2.43 | 62.38 | 59.95 | 1000 | 0.5 | 0.2 | 0.2 | 0.1 |
| sqlalchemy1x_async | create_heavy_quick | ✅ | 3 | 2.47 | 59.95 | 62.41 | 1000 | 0.5 | 0.2 | 0.2 | 0.1 |
| sqlalchemy1x_async | read_heavy_quick | ✅ | 1 | 1.11 | 62.41 | 63.53 | 1000 | 0.1 | 0.6 | 0.2 | 0.1 |
| sqlalchemy1x_async | read_heavy_quick | ✅ | 2 | 1.83 | 61.71 | 63.54 | 1000 | 0.1 | 0.6 | 0.2 | 0.1 |
| sqlalchemy1x_async | read_heavy_quick | ✅ | 3 | 0.1 | 61.72 | 61.82 | 1000 | 0.1 | 0.6 | 0.2 | 0.1 |
| sqlalchemy1x_async | write_intensive_quick | ✅ | 1 | 3.43 | 60.0 | 63.42 | 1000 | 0.4 | 0.1 | 0.4 | 0.1 |
| sqlalchemy1x_async | write_intensive_quick | ✅ | 2 | 0.01 | 63.42 | 63.43 | 1000 | 0.4 | 0.1 | 0.4 | 0.1 |
| sqlalchemy1x_async | write_intensive_quick | ✅ | 3 | -0.0 | 63.43 | 63.43 | 1000 | 0.4 | 0.1 | 0.4 | 0.1 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
